,movie,year,rating,genre,runtime_min,imdb,metascore,votes,n_imdb
57,Eternals,2021,PG-13,"['Action', ' Adventure', ' Fantasy']",156,6.3,52,358678,63.0
58,The Lobster,2015,R,"['Drama', ' Romance', ' Sci-Fi']",119,7.1,82,269624,71.0
59,Deadpool 2,2018,R,"['Action', ' Adventure', ' Comedy']",119,7.6,66,604676,76.0
60,Blade Runner,1982,R,"['Action', ' Drama', ' Sci-Fi']",117,8.1,84,787460,81.0
61,Eternal Sunshine of the Spotless Mind,2004,R,"['Drama', ' Romance', ' Sci-Fi']",108,8.3,89,1030788,83.0
62,Star Wars: Episode VI - Return of the Jedi,1983,PG,"['Action', ' Adventure', ' Fantasy']",131,8.3,58,1076973,83.0
63,Iron Man,2008,PG-13,"['Action', ' Adventure', ' Sci-Fi']",126,7.9,79,1081771,79.0
64,The Terminator,1984,R,"['Action', ' Sci-Fi']",107,8.1,84,884865,81.0
65,Galaxy Quest,1999,PG,"['Adventure', ' Comedy', ' Sci-Fi']",102,7.4,70,169529,74.0
66,Her,2013,R,"['Drama', ' Romance', ' Sci-Fi']",126,8.0,91,635571,80.0
67,2001: A Space Odyssey,1968,G,"['Adventure', ' Sci-Fi']",149,8.3,84,684997,83.0
68,Star Wars: Episode III - Revenge of the Sith,2005,PG-13,"['Action', ' Adventure', ' Fantasy']",140,7.6,68,811409,76.0
69,Escape Room,2019,PG-13,"['Action', ' Adventure', ' Horror']",99,6.4,48,130858,64.0
70,Real Genius,1985,PG,"['Comedy', ' Romance', ' Sci-Fi']",108,6.9,71,36058,69.0
71,Terminator 2: Judgment Day,1991,R,"['Action', ' Sci-Fi']",137,8.6,75,1122382,86.0
72,A Clockwork Orange,1971,R,"['Crime', ' Sci-Fi']",136,8.3,77,847475,83.0
73,A Quiet Place,2018,PG-13,"['Drama', ' Horror', ' Sci-Fi']",90,7.5,82,549127,75.0
74,Dune,1984,PG-13,"['Action', ' Adventure', ' Sci-Fi']",137,6.3,41,165692,63.0
75,Aliens,1986,R,"['Action', ' Adventure', ' Sci-Fi']",137,8.4,84,732138,84.0
