,movie,year,rating,genre,runtime_min,imdb,metascore,votes,n_imdb
251,Hellboy,2019,R,"['Action', ' Adventure', ' Fantasy']",120,5.2,31,93874,52.0
252,Signs,2002,PG-13,"['Drama', ' Mystery', ' Sci-Fi']",106,6.8,59,372828,68.0
253,G.I. Joe: The Rise of Cobra,2009,PG-13,"['Action', ' Adventure', ' Sci-Fi']",118,5.7,32,211852,57.0
254,Transformers: Revenge of the Fallen,2009,PG-13,"['Action', ' Adventure', ' Sci-Fi']",149,5.9,35,414647,59.0
255,Gravity,2013,PG-13,"['Drama', ' Sci-Fi', ' Thriller']",91,7.7,96,840418,77.0
256,The Fly,1986,R,"['Drama', ' Horror', ' Sci-Fi']",96,7.6,79,190927,76.0
257,The Hunger Games: Mockingjay - Part 1,2014,PG-13,"['Action', ' Adventure', ' Sci-Fi']",123,6.6,64,471470,66.0
258,War of the Worlds,2005,PG-13,"['Action', ' Adventure', ' Sci-Fi']",116,6.5,73,459409,65.0
259,Chappie,2015,R,"['Action', ' Crime', ' Drama']",120,6.8,41,259431,68.0
260,The Predator,2018,R,"['Action', ' Adventure', ' Horror']",107,5.3,48,137839,53.0
261,Riddick,2013,R,"['Action', ' Adventure', ' Sci-Fi']",119,6.4,49,172713,64.0
262,Planet of the Apes,2001,PG-13,"['Action', ' Adventure', ' Sci-Fi']",119,5.7,50,223546,57.0
263,X-Men: Days of Future Past,2014,PG-13,"['Action', ' Adventure', ' Sci-Fi']",132,7.9,75,724770,79.0
264,The Chronicles of Riddick,2004,R,"['Action', ' Adventure', ' Sci-Fi']",119,6.6,38,235555,66.0
265,Akira,1988,R,"['Animation', ' Action', ' Drama']",124,8.0,67,193493,80.0
266,Jupiter Ascending,2015,PG-13,"['Action', ' Adventure', ' Sci-Fi']",127,5.3,40,191318,53.0
267,Limitless,2011,PG-13,"['Sci-Fi', ' Thriller']",105,7.4,59,588860,74.0
268,2012,2009,PG-13,"['Action', ' Adventure', ' Sci-Fi']",158,5.8,49,386014,58.0
269,Infinite,2021,PG-13,"['Action', ' Sci-Fi', ' Thriller']",106,5.4,28,55323,54.0
270,Despicable Me,2010,PG,"['Animation', ' Adventure', ' Comedy']",95,7.6,72,560619,76.0
271,District 9,2009,R,"['Action', ' Sci-Fi', ' Thriller']",112,7.9,81,694700,79.0
272,Stargate,1994,PG-13,"['Action', ' Adventure', ' Sci-Fi']",116,7.0,42,197022,70.0
273,Boss Level,2020,TV-MA,"['Action', ' Adventure', ' Comedy']",100,6.8,56,72709,68.0
274,The Thing,2011,R,"['Horror', ' Mystery', ' Sci-Fi']",103,6.2,49,139428,62.0
275,Fantastic Four,2015,PG-13,"['Action', ' Adventure', ' Sci-Fi']",100,4.3,27,171341,43.0
276,Spaceballs,1987,PG,"['Adventure', ' Comedy', ' Sci-Fi']",96,7.1,46,197381,71.0
277,10 Cloverfield Lane,2016,PG-13,"['Drama', ' Horror', ' Mystery']",103,7.2,76,339644,72.0
278,Big Hero 6,2014,PG,"['Animation', ' Action', ' Adventure']",102,7.8,74,476215,78.0
279,Resident Evil: Welcome to Raccoon City,2021,R,"['Action', ' Horror', ' Sci-Fi']",107,5.2,44,58041,52.0
280,Wreck-It Ralph,2012,PG,"['Animation', ' Adventure', ' Comedy']",101,7.7,72,436518,77.0
281,Death Race,2008,R,"['Action', ' Sci-Fi', ' Thriller']",105,6.4,43,213557,64.0
282,Spiderhead,2022,R,"['Action', ' Crime', ' Drama']",106,5.4,54,61598,54.0
283,Lightyear,2022,PG,"['Animation', ' Action', ' Adventure']",105,6.1,60,113759,61.0
284,The Day After Tomorrow,2004,PG-13,"['Action', ' Adventure', ' Sci-Fi']",124,6.4,47,459755,64.0
285,The Matrix Reloaded,2003,R,"['Action', ' Sci-Fi']",138,7.2,62,608350,72.0
286,Unbreakable,2000,PG-13,"['Drama', ' Mystery', ' Sci-Fi']",106,7.3,62,427493,73.0
287,Cloud Atlas,2012,R,"['Drama', ' Mystery', ' Sci-Fi']",172,7.4,55,367368,74.0
288,Men in Black II,2002,PG-13,"['Action', ' Adventure', ' Comedy']",88,6.2,49,386564,62.0
289,Star Trek Into Darkness,2013,PG-13,"['Action', ' Adventure', ' Sci-Fi']",132,7.7,72,489214,77.0
290,The Iron Giant,1999,PG,"['Animation', ' Action', ' Adventure']",86,8.1,85,208815,81.0
291,Gattaca,1997,PG-13,"['Drama', ' Sci-Fi', ' Thriller']",106,7.8,64,312146,78.0
292,X-Men: Dark Phoenix,2019,PG-13,"['Action', ' Adventure', ' Sci-Fi']",113,5.7,43,194322,57.0
293,Titane,2021,R,"['Drama', ' Horror', ' Sci-Fi']",108,6.5,75,50059,65.0
294,Dawn of the Planet of the Apes,2014,PG-13,"['Action', ' Adventure', ' Drama']",130,7.6,79,451496,76.0
295,Rise of the Planet of the Apes,2011,PG-13,"['Action', ' Drama', ' Sci-Fi']",105,7.6,68,540042,76.0
296,Underwater,2020,PG-13,"['Action', ' Horror', ' Sci-Fi']",95,5.9,48,87835,59.0
297,The Purge,2013,R,"['Horror', ' Sci-Fi', ' Thriller']",85,5.7,41,230478,57.0
298,The Cell,2000,R,"['Crime', ' Horror', ' Sci-Fi']",107,6.4,40,105552,64.0
299,Glass,2019,PG-13,"['Drama', ' Horror', ' Sci-Fi']",129,6.6,43,253250,66.0
300,Hulk,2003,PG-13,"['Action', ' Sci-Fi']",138,5.6,54,272640,56.0
301,1984,1984,R,"['Drama', ' Sci-Fi']",113,7.1,67,74863,71.0
302,X-Men Origins: Wolverine,2009,PG-13,"['Action', ' Sci-Fi']",107,6.5,40,515298,65.0
303,Dragonball Evolution,2009,PG,"['Action', ' Adventure', ' Fantasy']",85,2.5,45,76873,25.0
304,Space Jam,1996,PG,"['Animation', ' Adventure', ' Comedy']",88,6.5,59,204106,65.0
305,Upgrade,2018,R,"['Action', ' Sci-Fi', ' Thriller']",100,7.5,67,192869,75.0
306,"I, Robot",2004,PG-13,"['Action', ' Mystery', ' Sci-Fi']",115,7.1,59,554437,71.0
307,Close Encounters of the Third Kind,1977,PG,"['Drama', ' Sci-Fi']",138,7.6,90,208262,76.0
308,Dark City,1998,R,"['Fantasy', ' Mystery', ' Sci-Fi']",100,7.6,66,204885,76.0
309,Demolition Man,1993,R,"['Action', ' Sci-Fi', ' Thriller']",115,6.7,34,183921,67.0
310,The Hitchhiker's Guide to the Galaxy,2005,PG,"['Adventure', ' Comedy', ' Sci-Fi']",109,6.7,63,202900,67.0
311,Teenage Mutant Ninja Turtles,2014,PG-13,"['Action', ' Adventure', ' Comedy']",101,5.8,31,214496,58.0
312,X-Men: The Last Stand,2006,PG-13,"['Action', ' Adventure', ' Sci-Fi']",104,6.6,58,526686,66.0
313,Terminator 3: Rise of the Machines,2003,R,"['Action', ' Sci-Fi']",109,6.3,66,407589,63.0
314,Atlantis: The Lost Empire,2001,PG,"['Animation', ' Action', ' Adventure']",95,6.9,52,126116,69.0
315,"Honey, I Shrunk the Kids",1989,PG,"['Adventure', ' Comedy', ' Family']",93,6.4,63,160103,64.0
316,Mortal Engines,2018,PG-13,"['Action', ' Adventure', ' Fantasy']",128,6.1,44,130810,61.0
317,Alien³,1992,R,"['Action', ' Horror', ' Sci-Fi']",114,6.4,59,307547,64.0
318,Night of the Comet,1984,PG-13,"['Comedy', ' Horror', ' Sci-Fi']",95,6.3,59,22257,63.0
319,X2: X-Men United,2003,PG-13,"['Action', ' Sci-Fi', ' Thriller']",134,7.4,68,560680,74.0
320,28 Weeks Later,2007,R,"['Action', ' Adventure', ' Horror']",100,6.9,78,283457,69.0
321,Species,1995,R,"['Action', ' Horror', ' Sci-Fi']",108,5.8,49,82322,58.0
322,Teenage Mutant Ninja Turtles,1990,PG,"['Action', ' Adventure', ' Comedy']",93,6.7,51,97545,67.0
323,The Signal,2014,PG-13,"['Drama', ' Mystery', ' Sci-Fi']",97,6.0,54,67329,60.0
324,Elysium,2013,R,"['Action', ' Drama', ' Sci-Fi']",109,6.6,61,457396,66.0
325,Samaritan,2022,PG-13,"['Action', ' Drama', ' Fantasy']",102,5.7,45,50165,57.0
326,Independence Day: Resurgence,2016,PG-13,"['Action', ' Adventure', ' Sci-Fi']",120,5.2,32,183625,52.0
327,Looper,2012,R,"['Action', ' Drama', ' Sci-Fi']",119,7.4,84,586757,74.0
328,Treasure Planet,2002,PG,"['Animation', ' Adventure', ' Family']",95,7.2,60,124908,72.0
329,Isle of Dogs,2018,PG-13,"['Animation', ' Adventure', ' Comedy']",101,7.8,82,177390,78.0
330,Star Trek: Nemesis,2002,PG-13,"['Action', ' Adventure', ' Sci-Fi']",116,6.4,51,81634,64.0
331,Equilibrium,2002,R,"['Action', ' Drama', ' Sci-Fi']",107,7.3,33,338274,73.0
332,Escape from New York,1981,R,"['Action', ' Adventure', ' Sci-Fi']",99,7.1,76,148765,71.0
333,Superman Returns,2006,PG-13,"['Action', ' Adventure', ' Sci-Fi']",154,6.1,72,287146,61.0
334,Linoleum,2022,TV-PG,"['Comedy', ' Drama', ' Sci-Fi']",101,6.5,80,1259,65.0
335,Downsizing,2017,R,"['Drama', ' Fantasy', ' Sci-Fi']",135,5.8,63,115524,58.0
336,The Lego Batman Movie,2017,PG,"['Animation', ' Action', ' Adventure']",104,7.3,75,159723,73.0
337,Battlestar Galactica,1979,TV-PG,"['Action', ' Adventure', ' Sci-Fi']",60,7.2,39,16572,72.0
338,Geostorm,2017,PG-13,"['Action', ' Sci-Fi', ' Thriller']",109,5.3,21,112472,53.0
339,What Happened to Monday,2017,TV-MA,"['Action', ' Crime', ' Fantasy']",123,6.8,47,128138,68.0
340,The Lost World: Jurassic Park,1997,PG-13,"['Action', ' Adventure', ' Sci-Fi']",129,6.5,59,428493,65.0
341,The Wolverine,2013,PG-13,"['Action', ' Sci-Fi']",126,6.7,61,477448,67.0
342,Brazil,1985,R,"['Drama', ' Sci-Fi']",132,7.9,84,205074,79.0
343,Mortal Kombat,1995,PG-13,"['Action', ' Adventure', ' Fantasy']",101,5.8,60,120962,58.0
344,The Mitchells vs the Machines,2021,PG,"['Animation', ' Adventure', ' Comedy']",114,7.6,81,115755,76.0
345,War for the Planet of the Apes,2017,PG-13,"['Action', ' Adventure', ' Drama']",140,7.4,82,266477,74.0
346,Back to the Future Part III,1990,PG,"['Adventure', ' Comedy', ' Sci-Fi']",118,7.4,55,460348,74.0
347,Metropolis,1927,Not Rated,"['Drama', ' Sci-Fi']",153,8.3,98,178201,83.0
348,Vivarium,2019,R,"['Horror', ' Mystery', ' Sci-Fi']",97,5.9,64,64295,59.0
349,Spy Kids,2001,PG,"['Action', ' Adventure', ' Comedy']",88,5.6,71,121696,56.0
350,The Island of Dr. Moreau,1996,PG-13,"['Horror', ' Sci-Fi', ' Thriller']",96,4.5,37,34459,45.0
351,Pixels,2015,PG-13,"['Action', ' Comedy', ' Fantasy']",105,5.6,27,150448,56.0
352,Bloodshot,2020,PG-13,"['Action', ' Adventure', ' Sci-Fi']",109,5.7,44,81070,57.0
353,Green Lantern,2011,PG-13,"['Action', ' Adventure', ' Sci-Fi']",114,5.5,39,289820,55.0
354,Terminator Salvation,2009,PG-13,"['Action', ' Adventure', ' Sci-Fi']",115,6.5,49,368853,65.0
355,The Island,2005,PG-13,"['Action', ' Sci-Fi', ' Thriller']",136,6.8,50,320993,68.0
356,Megamind,2010,PG,"['Animation', ' Action', ' Comedy']",95,7.3,63,275794,73.0
357,Project Wolf Hunting,2022,,"['Action', ' Crime', ' Horror']",122,6.1,53,4280,61.0
358,Bill & Ted's Excellent Adventure,1989,PG,"['Adventure', ' Comedy', ' Music']",90,6.9,50,135838,69.0
359,Space Jam: A New Legacy,2021,PG,"['Animation', ' Adventure', ' Comedy']",115,4.5,36,75711,45.0
360,Hellboy,2004,PG-13,"['Action', ' Adventure', ' Fantasy']",122,6.8,72,338279,68.0
361,The Endless,2017,Not Rated,"['Drama', ' Fantasy', ' Horror']",111,6.5,80,45726,65.0
362,Flash Gordon,1980,PG,"['Action', ' Adventure', ' Sci-Fi']",111,6.5,58,58949,65.0
363,Cars 2,2011,G,"['Animation', ' Adventure', ' Comedy']",106,6.2,57,200789,62.0
364,Home,2015,PG,"['Animation', ' Adventure', ' Comedy']",94,6.5,55,106773,65.0
365,Alien: Resurrection,1997,R,"['Action', ' Horror', ' Sci-Fi']",109,6.2,63,254102,62.0
366,Hot Tub Time Machine,2010,R,"['Comedy', ' Sci-Fi']",101,6.4,63,179940,64.0
367,City of Ember,2008,PG,"['Adventure', ' Drama', ' Family']",90,6.4,58,67853,64.0
368,Source Code,2011,PG-13,"['Action', ' Drama', ' Mystery']",93,7.5,74,530771,75.0
369,Moon,2009,R,"['Drama', ' Mystery', ' Sci-Fi']",97,7.8,67,366520,78.0
370,How It Ends,2018,TV-MA,"['Action', ' Drama', ' Horror']",113,5.0,36,55591,50.0
371,RoboCop,2014,PG-13,"['Action', ' Crime', ' Sci-Fi']",117,6.1,52,233437,61.0
372,Fantastic Four,2005,PG-13,"['Action', ' Adventure', ' Fantasy']",106,5.7,40,335857,57.0
373,Superhero Movie,2008,PG-13,"['Action', ' Comedy', ' Sci-Fi']",75,4.6,33,72077,46.0
374,The Devil Conspiracy,2022,R,"['Horror', ' Sci-Fi', ' Thriller']",111,4.4,37,1671,44.0
375,Tron,1982,PG,"['Action', ' Adventure', ' Sci-Fi']",96,6.7,58,125051,67.0
376,The 5th Wave,2016,PG-13,"['Action', ' Adventure', ' Sci-Fi']",112,5.2,33,113257,52.0
377,The Road Warrior,1981,R,"['Action', ' Adventure', ' Sci-Fi']",96,7.6,77,186028,76.0
378,A Cure for Wellness,2016,R,"['Drama', ' Fantasy', ' Horror']",146,6.4,47,103912,64.0
379,R.I.P.D.,2013,PG-13,"['Action', ' Adventure', ' Comedy']",96,5.6,25,139604,56.0
380,The Happening,2008,R,"['Adventure', ' Drama', ' Sci-Fi']",91,5.0,34,211727,50.0
381,Chaos Walking,2021,PG-13,"['Action', ' Adventure', ' Fantasy']",109,5.7,38,52530,57.0
382,Logan's Run,1976,PG,"['Action', ' Adventure', ' Sci-Fi']",119,6.8,53,58854,68.0
383,Deep Impact,1998,PG-13,"['Action', ' Drama', ' Sci-Fi']",120,6.2,40,183219,62.0
384,Never Let Me Go,2010,R,"['Drama', ' Romance', ' Sci-Fi']",103,7.1,69,149045,71.0
385,Real Steel,2011,PG-13,"['Action', ' Drama', ' Sci-Fi']",127,7.0,56,340206,70.0
386,Stalker,1979,Not Rated,"['Drama', ' Sci-Fi']",162,8.1,83,138361,81.0
387,Ghost in the Shell,1995,TV-MA,"['Animation', ' Action', ' Crime']",83,7.9,76,148349,79.0
388,Meet the Robinsons,2007,G,"['Animation', ' Adventure', ' Comedy']",95,6.8,61,105302,68.0
389,I Am Number Four,2011,PG-13,"['Action', ' Adventure', ' Sci-Fi']",111,6.1,36,241775,61.0
390,Superman III,1983,PG,"['Action', ' Adventure', ' Comedy']",125,5.0,44,72430,50.0
391,Love and Monsters,2020,PG-13,"['Action', ' Adventure', ' Comedy']",109,6.9,63,134230,69.0
392,Primer,2004,PG-13,"['Drama', ' Sci-Fi', ' Thriller']",77,6.8,68,109883,68.0
393,Minions,2015,PG,"['Animation', ' Adventure', ' Comedy']",91,6.4,56,246914,64.0
394,In the Shadow of the Moon,2019,TV-MA,"['Action', ' Crime', ' Mystery']",115,6.2,48,56399,62.0
395,Ghostbusters II,1989,PG,"['Action', ' Comedy', ' Fantasy']",108,6.6,56,213536,66.0
396,Men in Black: International,2019,PG-13,"['Action', ' Adventure', ' Comedy']",114,5.6,38,139449,56.0
397,High Life,2018,R,"['Adventure', ' Drama', ' Horror']",113,5.8,78,38043,58.0
398,Speed Racer,2008,PG,"['Action', ' Adventure', ' Comedy']",135,6.0,37,76077,60.0
399,The Cloverfield Paradox,2018,PG-13,"['Action', ' Adventure', ' Horror']",102,5.5,37,108829,55.0
400,Ralph Breaks the Internet,2018,PG,"['Animation', ' Adventure', ' Comedy']",112,7.0,71,169712,70.0
401,The Abyss,1989,PG-13,"['Adventure', ' Drama', ' Mystery']",140,7.5,62,183428,75.0
402,I Am Mother,2019,TV-14,"['Drama', ' Mystery', ' Sci-Fi']",113,6.7,64,94843,67.0
403,The Wandering Earth,2019,TV-MA,"['Action', ' Adventure', ' Sci-Fi']",125,5.9,57,33854,59.0
404,Total Recall,2012,PG-13,"['Action', ' Adventure', ' Sci-Fi']",118,6.2,43,259706,62.0
405,Cocoon,1985,PG-13,"['Comedy', ' Drama', ' Sci-Fi']",117,6.7,65,65844,67.0
406,Zathura: A Space Adventure,2005,PG,"['Action', ' Adventure', ' Comedy']",101,6.2,67,109470,62.0
407,Colossal,2016,R,"['Comedy', ' Drama', ' Fantasy']",109,6.2,70,66946,62.0
408,The Wraith,1986,PG-13,"['Action', ' Horror', ' Romance']",93,5.9,39,17725,59.0
409,Paul,2011,R,"['Adventure', ' Comedy', ' Sci-Fi']",104,6.9,57,258923,69.0
410,The Wandering Earth II,2022,,"['Action', ' Adventure', ' Drama']",173,7.1,56,9810,71.0
411,Lifeforce,1985,R,"['Action', ' Horror', ' Mystery']",101,6.1,50,27420,61.0
412,Black Crab,2022,TV-MA,"['Action', ' Adventure', ' Drama']",114,5.7,54,23756,57.0
413,Cloudy with a Chance of Meatballs,2009,PG,"['Animation', ' Adventure', ' Comedy']",90,6.9,66,243597,69.0
414,Hollow Man,2000,R,"['Action', ' Horror', ' Sci-Fi']",112,5.8,24,134392,58.0
415,Invasion of the Body Snatchers,1978,PG,"['Horror', ' Sci-Fi']",115,7.4,75,63874,74.0
416,Mad God,2021,Unrated,"['Animation', ' Fantasy', ' Horror']",83,6.8,80,11562,68.0
417,Jumper,2008,PG-13,"['Action', ' Adventure', ' Sci-Fi']",88,6.1,35,313624,61.0
418,Jurassic Park III,2001,PG-13,"['Action', ' Adventure', ' Sci-Fi']",92,5.9,42,330199,59.0
419,The Lego Movie 2: The Second Part,2019,PG,"['Animation', ' Action', ' Adventure']",107,6.6,65,71022,66.0
420,Star Trek II: The Wrath of Khan,1982,PG,"['Action', ' Adventure', ' Sci-Fi']",113,7.7,68,125158,77.0
421,The Bad Batch,2016,R,"['Action', ' Horror', ' Mystery']",118,5.2,62,33564,52.0
422,Bill & Ted Face the Music,2020,PG-13,"['Adventure', ' Comedy', ' Music']",91,5.9,65,50273,59.0
423,The New Mutants,2020,PG-13,"['Action', ' Horror', ' Mystery']",94,5.3,43,84021,53.0
424,The Core,2003,PG-13,"['Action', ' Adventure', ' Sci-Fi']",135,5.5,48,104171,55.0
425,Possessor,2020,R,"['Horror', ' Mystery', ' Sci-Fi']",103,6.5,72,40749,65.0
426,Short Circuit,1986,PG,"['Comedy', ' Family', ' Sci-Fi']",98,6.6,50,64054,66.0
427,Star Trek: First Contact,1996,PG-13,"['Action', ' Adventure', ' Drama']",111,7.6,71,128744,76.0
428,Time Trap,2017,Not Rated,"['Action', ' Adventure', ' Mystery']",87,6.2,46,39813,62.0
429,Cube,1997,R,"['Drama', ' Horror', ' Mystery']",90,7.2,61,238468,72.0
430,Journey 2: The Mysterious Island,2012,PG,"['Action', ' Adventure', ' Comedy']",94,5.7,41,107870,57.0
431,Overlord,2018,R,"['Action', ' Horror', ' Sci-Fi']",110,6.6,60,102629,66.0
432,Godzilla,1998,PG-13,"['Action', ' Sci-Fi', ' Thriller']",139,5.4,32,197435,54.0
433,Soylent Green,1973,PG,"['Crime', ' Mystery', ' Sci-Fi']",97,7.0,66,67482,70.0
434,Snake Eyes,2021,PG-13,"['Action', ' Adventure', ' Crime']",121,5.4,43,41673,54.0
435,The Host,2006,R,"['Drama', ' Horror', ' Sci-Fi']",120,7.1,85,126817,71.0
436,Blade II,2002,R,"['Action', ' Horror', ' Sci-Fi']",117,6.7,52,225502,67.0
437,The Fountain,2006,PG-13,"['Drama', ' Mystery', ' Romance']",97,7.2,51,243653,72.0
438,Pacific Rim: Uprising,2018,PG-13,"['Action', ' Adventure', ' Fantasy']",111,5.6,44,121190,56.0
439,Maze Runner: The Death Cure,2018,PG-13,"['Action', ' Adventure', ' Sci-Fi']",143,6.2,50,149373,62.0
440,In the Tall Grass,2019,TV-MA,"['Horror', ' Mystery', ' Sci-Fi']",101,5.4,46,59854,54.0
441,The Matrix Revolutions,2003,R,"['Action', ' Sci-Fi']",129,6.7,47,525351,67.0
442,The Dark Tower,2017,PG-13,"['Action', ' Adventure', ' Fantasy']",95,5.6,34,141908,56.0
443,Okja,2017,TV-MA,"['Action', ' Adventure', ' Drama']",120,7.3,75,126515,73.0
444,Significant Other,2022,R,"['Drama', ' Mystery', ' Sci-Fi']",84,5.7,57,9481,57.0
445,The Dead Don't Die,2019,R,"['Comedy', ' Fantasy', ' Horror']",104,5.4,53,81953,54.0
446,Code 8,2019,Not Rated,"['Action', ' Crime', ' Drama']",98,6.1,48,41867,61.0
447,Deja Vu,2006,PG-13,"['Action', ' Crime', ' Sci-Fi']",126,7.1,59,317680,71.0
448,Mighty Morphin Power Rangers,1995,PG,"['Action', ' Adventure', ' Family']",95,5.2,40,28985,52.0
449,Time Bandits,1981,PG,"['Adventure', ' Comedy', ' Fantasy']",110,6.9,79,65834,69.0
450,Superman II,1980,PG,"['Action', ' Adventure', ' Sci-Fi']",127,6.8,83,110796,68.0
451,Fire in the Sky,1993,PG-13,"['Biography', ' Drama', ' Fantasy']",109,6.5,42,26386,65.0
452,Journey to the Center of the Earth,2008,PG,"['Action', ' Adventure', ' Family']",93,5.8,57,126937,58.0
453,The Last Starfighter,1984,PG,"['Action', ' Adventure', ' Sci-Fi']",101,6.7,67,44051,67.0
454,Nr. 10,2021,,"['Drama', ' Mystery', ' Sci-Fi']",100,6.5,54,1054,65.0
455,Blade: Trinity,2004,R,"['Action', ' Horror', ' Sci-Fi']",113,5.8,38,182521,58.0
456,Chronicle,2012,PG-13,"['Action', ' Drama', ' Sci-Fi']",84,7.0,69,256643,70.0
457,Splice,2009,R,"['Horror', ' Sci-Fi']",104,5.8,66,99727,58.0
458,The Rocketeer,1991,PG,"['Action', ' Adventure', ' Family']",108,6.5,61,59704,65.0
459,Awake,2021,TV-MA,"['Action', ' Adventure', ' Drama']",96,4.9,35,23871,49.0
460,Ghostbusters,2016,PG-13,"['Action', ' Comedy', ' Fantasy']",117,6.8,60,236861,68.0
461,Videodrome,1983,R,"['Horror', ' Sci-Fi', ' Thriller']",87,7.2,60,97445,72.0
462,Maze Runner: The Scorch Trials,2015,PG-13,"['Action', ' Adventure', ' Sci-Fi']",131,6.3,43,260732,63.0
463,Star Trek VI: The Undiscovered Country,1991,PG,"['Action', ' Adventure', ' Sci-Fi']",110,7.2,65,78268,72.0
464,Coneheads,1993,PG,"['Comedy', ' Sci-Fi']",88,5.4,49,56044,54.0
465,Teenage Mutant Ninja Turtles: Out of the Shadows,2016,PG-13,"['Action', ' Adventure', ' Comedy']",112,5.9,40,95976,59.0
466,The Darkest Hour,2011,PG-13,"['Action', ' Adventure', ' Horror']",89,4.9,18,62314,49.0
467,Despicable Me 2,2013,PG,"['Animation', ' Adventure', ' Comedy']",98,7.3,62,410177,73.0
468,Star Trek: The Motion Picture,1979,G,"['Adventure', ' Mystery', ' Sci-Fi']",143,6.4,50,93213,64.0
469,Alien vs. Predator,2004,PG-13,"['Action', ' Adventure', ' Horror']",101,5.6,29,205548,56.0
470,Resident Evil: The Final Chapter,2016,R,"['Action', ' Horror', ' Sci-Fi']",107,5.5,49,97342,55.0
471,Sorry to Bother You,2018,R,"['Comedy', ' Drama', ' Fantasy']",112,6.9,80,83620,69.0
472,PAW Patrol: The Movie,2021,G,"['Animation', ' Action', ' Adventure']",86,6.1,50,6996,61.0
474,Monsters vs. Aliens,2009,PG,"['Animation', ' Action', ' Adventure']",94,6.4,56,168857,64.0
475,Predators,2010,R,"['Action', ' Adventure', ' Fantasy']",107,6.4,51,236817,64.0
476,The Host,2013,PG-13,"['Action', ' Adventure', ' Drama']",125,5.8,35,116781,58.0
477,Clifford the Big Red Dog,2021,PG,"['Animation', ' Adventure', ' Comedy']",96,5.9,55,14871,59.0
478,Heavy Metal,1981,R,"['Animation', ' Adventure', ' Fantasy']",86,6.6,51,36558,66.0
479,Assassin's Creed,2016,PG-13,"['Action', ' Adventure', ' Sci-Fi']",115,5.6,36,203042,56.0
480,Prospect,2018,R,"['Adventure', ' Drama', ' Sci-Fi']",100,6.3,68,30881,63.0
481,A Wrinkle in Time,2018,PG,"['Adventure', ' Drama', ' Family']",109,4.2,53,46367,42.0
482,"Dude, Where's My Car?",2000,PG-13,"['Comedy', ' Mystery', ' Sci-Fi']",83,5.5,30,142683,55.0
483,Blast from the Past,1999,PG-13,"['Comedy', ' Drama', ' Romance']",112,6.7,48,68854,67.0
484,Stowaway,2021,TV-MA,"['Adventure', ' Sci-Fi', ' Thriller']",116,5.6,63,49070,56.0
485,The Silence,2019,PG-13,"['Drama', ' Horror', ' Sci-Fi']",90,5.3,25,47897,53.0
486,Piranha 3DD,2012,R,"['Comedy', ' Horror', ' Sci-Fi']",83,3.8,24,44102,38.0
487,Voyagers,2021,PG-13,"['Adventure', ' Sci-Fi', ' Thriller']",108,5.4,44,23689,54.0
488,Bolt,2008,PG,"['Animation', ' Adventure', ' Comedy']",96,6.8,67,218709,68.0
489,Resident Evil: Apocalypse,2004,R,"['Action', ' Horror', ' Sci-Fi']",94,6.1,35,204386,61.0
490,Disaster Movie,2008,PG-13,"['Comedy', ' Sci-Fi']",87,1.9,15,92949,19.0
491,Star Trek IV: The Voyage Home,1986,PG,"['Action', ' Adventure', ' Comedy']",119,7.3,71,88342,73.0
492,Color Out of Space,2019,Unrated,"['Horror', ' Mystery', ' Sci-Fi']",111,6.2,70,51687,62.0
493,Battlefield Earth,2000,PG-13,"['Action', ' Adventure', ' Sci-Fi']",118,2.5,9,81480,25.0
494,Transcendence,2014,PG-13,"['Action', ' Drama', ' Sci-Fi']",119,6.2,42,233304,62.0
495,The Time Machine,2002,PG-13,"['Action', ' Adventure', ' Sci-Fi']",96,6.0,42,127019,60.0
496,Pandorum,2009,R,"['Action', ' Horror', ' Mystery']",108,6.7,28,154797,67.0
497,Scanners,1981,R,"['Horror', ' Sci-Fi', ' Thriller']",103,6.7,60,58543,67.0
498,Star Trek: Generations,1994,PG,"['Action', ' Adventure', ' Mystery']",118,6.6,55,84497,66.0
499,The Adventures of Buckaroo Banzai Across the 8th Dimension,1984,PG,"['Adventure', ' Comedy', ' Sci-Fi']",103,6.2,70,27489,62.0
500,It Comes at Night,2017,R,"['Drama', ' Horror', ' Mystery']",91,6.2,78,97828,62.0
501,The Midnight Sky,2020,PG-13,"['Adventure', ' Drama', ' Sci-Fi']",118,5.7,58,86184,57.0
502,The Divergent Series: Insurgent,2015,PG-13,"['Action', ' Adventure', ' Sci-Fi']",119,6.2,42,245144,62.0
503,9,2009,PG-13,"['Animation', ' Action', ' Adventure']",79,7.0,60,143153,70.0
504,Chip 'n Dale: Rescue Rangers,2022,PG,"['Animation', ' Action', ' Adventure']",97,7.0,66,43569,70.0
505,Scooby-Doo 2: Monsters Unleashed,2004,PG,"['Adventure', ' Comedy', ' Family']",93,5.2,34,61097,52.0
506,Hellboy II: The Golden Army,2008,PG-13,"['Action', ' Adventure', ' Fantasy']",120,7.0,78,278296,70.0
507,Star Trek: Insurrection,1998,PG,"['Action', ' Adventure', ' Sci-Fi']",103,6.4,64,77332,64.0
508,The Adventures of Sharkboy and Lavagirl 3-D,2005,PG,"['Action', ' Adventure', ' Comedy']",93,3.7,38,39908,37.0
509,Resident Evil: Retribution,2012,R,"['Action', ' Horror', ' Sci-Fi']",95,5.3,39,146080,53.0
510,The Return of the Living Dead,1985,R,"['Comedy', ' Horror', ' Sci-Fi']",91,7.3,66,64411,73.0
